"";"Res.no";"Agr..no";"Driver.ID";"Days";"Agent.group";"Driver.Country_Disp";"Driver.Age";"Pre.paid.Amount";"First.Licence.Year";"Check.out.Date";"Check.out.Time";"Booking.Date";"Booking.Time";"AD";"B";"BC";"BE";"BF";"BO";"BR";"BS";"CS";"DI";"FDW";"LD";"NV";"PAI";"SC";"SS";"SUB";"TF";"TG";"UPS";"Upgra";"C.O.Mileage";"Check.out.Station";"Group";"Charged.group";"Internet.Insurance.Net.Revenue";"Internet.Non.Insurance.Net.Revenue";"Rental_Cost_Res";"Sales.Channel.2";"Segment";"Past.Rentals.Entry";"Manufacturer";"Color";"Rate.title";"Status";"OnDesk.Insurance.Net.Revenue";"OnDesk.Non.Insurance.Net.Revenue"
"5584";"RES-254804";"SM3MO-1611";334447;30;"Walk in";"Greece";"25";"0.00";"2019";"13/8/2022";9;"18/5/2021";13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"50000";"003-MO";"JFAR";"JFAR";"0.00";"0.00";"0.00";"Retail-Sixt-Sixt";"Retail";19;"MINI";"White";"COMPLIMENTARY RATES";"IN";"0.00";"0.00"
"14572";"RES-366420";"SM002-80888";412190;10;"Sixt";"Canada";"46";"0.00";"2019";"5/8/2022";17;"9/7/2022";5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"58498";"2";"SWMR";"CWMR";"0.00";"0.00";"1276.13";"Retail-Sixt-Sixt";"Retail";2;"Skoda";"Black";"Sixt Import Rates";"IN";"0.00";"200.00"
"61534";"RES-393413";"SM302-41087";483805;7;"Sixt";"Germany";"53";"0.00";"2019";"25/9/2022";18;"8/9/2022";12;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"62289";"302";"EDMR";"MDMR";"0.00";"0.00";"184.84";"Retail-Sixt-Sixt";"Retail";0;"Hyundai";"White";"Sixt Import Rates";"IN";"0.00";"82.80"
"6091";"RES-336818";"NULL";287194;2;"Walk in";"Germany";"46";"0.00";"NULL";"1/7/2022";23;"14/5/2022";10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"NULL";"503";"CXMR";"CXMR";"0.00";"0.00";"0.00";"Retail-Station-Station";"Retail";0;"NULL";"NULL";"Walk In Rates";"CNC";"0.00";"0.00"
"40668";"RES-375672";"NULL";463628;4;"Sixt";"Blank";"58";"0.00";"NULL";"5/8/2022";13;"30/7/2022";10;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"NULL";"503";"CXAR";"CXAR";"0.00";"0.00";"410.69";"Retail Brokers Sixt";"Retail";0;"NULL";"NULL";"Sixt Import Rates";"CNC";"0.00";"0.00"
"57997";"RES-397414";"SM503-9433";488722;3;"Sixt";"Greece";"40";"0.00";"2019";"23/9/2022";13;"18/9/2022";12;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;"60829";"503";"SWMR";"SFMR";"0.00";"21.78";"213.86";"Retail-Sixt-Sixt";"Retail";0;"Skoda";"Grey";"Sixt Import Rates";"IN";"62.18";"0.00"
"18149";"RES-340395";"NULL";426830;5;"Online Broker";"Blank";"NULL";"215.24";"NULL";"3/6/2022";15;"23/5/2022";13;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"NULL";"609";"EDMR";"EDMR";"24.20";"0.00";"200.68";"Retail Brokers Sixt";"Retail";0;"NULL";"NULL";"Sixt Import Rates";"CNC";"0.00";"0.00"
"14673";"RES-339278";"SM302-35057";425772;4;"Sixt";"France";"61";"0.00";"2019";"12/6/2022";13;"23/5/2022";13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"40497";"302";"CCMR";"CCMR";"0.00";"0.00";"193.85";"Retail-Sixt-Sixt";"Retail";0;"Renault";"Blue";"Sixt Import Rates";"IN";"0.00";"0.00"
"53703";"RES-388802";"SM721-672";478544;6;"Sixt";"Bulgaria";"56";"0.00";"2019";"31/8/2022";11;"29/8/2022";19;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"42100";"721";"MDMR";"MDMR";"0.00";"0.00";"165.65";"Retail Brokers Sixt";"Retail";0;"Citroen";"White";"Sixt Import Rates";"IN";"66.60";"0.00"
"57762";"RES-387618";"NULL";477158;7;"NULL";"United States of America";"NULL";"166.66";"NULL";"28/9/2022";12;"26/8/2022";17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"NULL";"2";"EDMR";"EDMR";"0.00";"0.00";"134.40";"Retail Brokers Sixt";"Retail";0;"NULL";"NULL";"Sixt Import Rates";"CNC";"0.00";"0.00"
